# Data source (extracted from Figure): econstor, "Stromverbrauch privater Haushalte in Deutschland: Eine ökonometrische Analyse", https://www.econstor.eu/handle/10419/116776
1 Occupant,1 Occupant,2 Occupants,2 Occupants,3 Occupants,3 Occupants,4+ Occupants,4+ Occupants
X,Y,X,Y,X,Y,X,Y
6660,9.63E-07,6660,3.72E-05,6660,8.27E-05,6660,7.94E-05
6690,8.50E-07,6690,3.66E-05,6690,8.15E-05,6690,7.82E-05
6720,7.30E-07,6720,3.61E-05,6720,8.05E-05,6720,7.73E-05
6750,5.78E-07,6750,3.55E-05,6750,7.97E-05,6750,7.66E-05
6780,4.32E-07,6780,3.49E-05,6780,7.89E-05,6780,7.61E-05
6810,3.90E-07,6810,3.43E-05,6810,7.79E-05,6810,7.55E-05
6840,3.98E-07,6840,3.39E-05,6840,7.67E-05,6840,7.50E-05
6870,3.96E-07,6870,3.35E-05,6870,7.54E-05,6870,7.43E-05
6900,3.97E-07,6900,3.32E-05,6900,7.41E-05,6900,7.36E-05
6930,3.96E-07,6930,3.30E-05,6930,7.31E-05,6930,7.28E-05
6960,3.96E-07,6960,3.28E-05,6960,7.24E-05,6960,7.22E-05
6990,3.96E-07,6990,3.27E-05,6990,7.19E-05,6990,7.15E-05
7020,3.96E-07,7020,3.27E-05,7020,7.13E-05,7020,7.09E-05
7050,3.96E-07,7050,3.28E-05,7050,7.04E-05,7050,7.04E-05
7080,3.96E-07,7080,3.30E-05,7080,6.93E-05,7080,6.98E-05
7110,3.96E-07,7110,3.31E-05,7110,6.81E-05,7110,6.93E-05
7140,3.96E-07,7140,3.29E-05,7140,6.67E-05,7140,6.85E-05
7170,3.96E-07,7170,3.27E-05,7170,6.55E-05,7170,6.82E-05
7200,3.96E-07,7200,3.26E-05,7200,6.43E-05,7200,6.81E-05
7230,3.96E-07,7230,3.23E-05,7230,6.32E-05,7230,6.82E-05
7260,3.96E-07,7260,3.18E-05,7260,6.22E-05,7260,6.82E-05
7290,3.96E-07,7290,3.14E-05,7290,6.09E-05,7290,6.84E-05
7320,3.96E-07,7320,3.12E-05,7320,6.05E-05,7320,6.85E-05
7350,3.97E-07,7350,3.11E-05,7350,5.92E-05,7350,6.89E-05
7380,3.96E-07,7380,3.09E-05,7380,5.80E-05,7380,6.93E-05
7410,3.97E-07,7410,3.05E-05,7410,5.66E-05,7410,6.94E-05
